Municipio,Hoy 17/07,18/07,19/07,20/07,21/07,22/07,23/07
A Arnoia (Ourense),Bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto
A Baña (A Coruña),Muy bajo,Bajo,Moderado,Moderado,Alto,Moderado,Alto
A Bola (Ourense),Bajo,Moderado,Moderado,Moderado,Extremo,Muy alto,Muy alto
A Capela (A Coruña),Muy bajo,Bajo,Bajo,Muy alto,Muy alto,Muy alto,Muy alto
A Cañiza (Pontevedra),Bajo,Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto
A Coruña (A Coruña),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
A Estrada (Pontevedra),Bajo,Moderado,Bajo,Moderado,Moderado,Alto,Muy alto
A Fonsagrada (Lugo),Muy bajo,Bajo,Bajo,Moderado,Moderado,Alto,Alto
A Guarda (Pontevedra),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
A Gudiña (Ourense),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
A Illa de Arousa (Pontevedra),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
A Lama (Pontevedra),Bajo,Bajo,Bajo,Bajo,Moderado,Alto,Alto
A Laracha (A Coruña),Muy bajo,Bajo,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
A Merca (Ourense),Bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto
A Mezquita (Ourense),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
A Pastoriza (Lugo),Muy bajo,Muy bajo,Bajo,Moderado,Moderado,Moderado,Moderado
A Peroxa (Ourense),Muy bajo,Bajo,Bajo,Moderado,Alto,Alto,Alto
A Pobra de Trives (Ourense),Bajo,Bajo,Bajo,Bajo,Moderado,Muy alto,Muy alto
A Pobra do Brollón (Lugo),Bajo,Moderado,Bajo,Moderado,Alto,Muy alto,Muy alto
A Pobra do Caramiñal (A Coruña),Bajo,Alto,Moderado,Moderado,Moderado,Moderado,Moderado
